,reviews
0,"
I would like to rate 4/5 . I am Satisfied with this phone. ( Suggest to read all the cons and disadvantage I have mentioned)I got it at 16999 + 1000 (for adaptor) on first sale. Because I did not pre book.My requirements was A good Display and good Battery backup and Good Camera only because I don't play Games . So I prefer Samsung inspite of the myth told by my friends Samsung mobile get hangs and camera is not good.Pros - 1) 120HZ Amoled Display is amazing ( As we know We know Even iPhone Use Samsung display) I compete it with Real me GT 2 Display but Samsung Won )2) Rear Camera is More than enough (50 Mp No shake (OIS) Camera  ll give the performance as Sony camera mobile. (Good for both day night photography)(Front camera is not upto the mark)3) Performance and Speed is very fast you won't feel like exonos processor is used. Apps also open so quickly.4) A lots of features has given by Samsung.( Some iPhone features too)Like Screen and Call recording,All Sensor ,lot of Photo editing feature like Erase the object etc.Cons :-1) Front design ( After 1-2 years you ll feel low as everyone ll have punch hole display)2) Battery is 6000mAh but I feel like 5000 mAh battery backup It will give 1 Day battery backup in normal use For heavy user may be needed to charge twice I can Say If you charge 2 times it will give you 1.5 days backup.3) Front camera Should be 16 Mp inspite of 13mp.But you ll get clarity pic  . AverageOne more cons ,while I click shutter button for photo Sometime it take little more time to respond.Portrait mode is totally bad like below 10k range mobile camera4 ) No in display 3 fingers screenshot available5) Am getting some network issue First I thought for 5g connectivity but sometimes with 4g also .. No clarity video call . Before I was using infinix note 5 that was more better than this .No more cons I found till date. I ll update later.Suggestions: Buy a good Backcover first because phone is very glassy and slippery.If your priorities is display , camera and battery you can go for it as it also provides 4 years software updates.Thank you...❤️
"
1,"
👇👇👇👇👇👇👇👇👇👇*** Honest review of Samsung Galaxy M34 5G 8GB RAM ***Super AmoLED display quality is like makkhan/butter and you won't get disappointed and graphic colors are good. Screen is brighter and text shown on display is sharp and crisp.Refresh does little slow for default apps like YouTube or FB scrolling but kind of ignorable. But rest you will see superb performance when you switch to apps/folders/galleries/videos/widgets etc everything feels smooth.I used Snapdragon chipset phones and never felt any slowness/jitterness/lagging/hanging problem in this model. I am not a gaming time-waster so I don't know about its gaming performanceFront and rear OIS camera photos are natural and vivid. It will not process images how Chinese brands shows artificial beauty but maintain natural colours.Good work in terms of weight management as you would never feel heavy at all.Sometimes slowness when switching from mobile data to wifi or vice versa.Fast battery drain when you share your internet through hotspot.Slow charging is a myth. I can see it's getting charged little faster than people are telling in reviews.Full day battery back up when you continue use everything includes continue WIFI, social media, YouTube etc. Otherwise 1.5 day for average use.Suitable for winter season because it heats a little more than average 😆 but manageable if you have back cover.Speakers are sharp and well built which produce sharp sound quality.Slow charging is a myth. I can see it's getting charged little faster than people are telling in reviews.Exact size temper glass may not fix as it's display edges are slight curved which results in passing air in the gap of temper glass which gets removed/unstick. Use  smaller width temper glass than the phone screen.I don't know why the drop-notch is paining the reviewers. For me, it's not a matter of concern. Samsung has 1 feature to adjust the display so the screen will appear little below the notch to avoid any distraction while playing videos. Yes it's little old design but one doesn't have to follow every new design that launches every few months. Otherwise one can go for invisible camera which is hidden inside the display if you want to follow the trend.Good good those who are comfortable in side mount fingerprint sensor than the in-display fingerprint.As it has 4 years of Android OS updates then recommended to opt for 8 GB RAM.If you want a full fledged decent phone with bundles of software feature and strong hardware package that can work for a long time and you don't have time to spend on researching about models every few months then this is a must buy model.But if you want to stick to the trend where every 3 months there are newer models with new gimmick designs/features then you can ignore this phone. Also this may not be good gaming people.In spite of all these pros and cons, I think it's justifiable for the price when compare to other models with exact same features.I couldn't find a phone which has:Super AmoLed Bright display.6000 mAh battery.OIS camera.120hz Refresh Rate.4 years of OS (stock Android like) updatesDecent chipset for multi tasking (except gaming)5G with several bands.It's an almost flagship level phone as you have same features of Samsung flagship phones.Other Competitors: iQoo Z7s, Motorola Edge 20 Fusion, OnePlus Nord 3 CE Lite, Realme Narzo 60 5G, Realme 11 Pro, Xiaomi Redmi Note 12, Vivo T2,
"
2,"
I choose this phone after checking many below 20-25K priced phone, one main feature I wanted this time was to migrate and ditch chinese phones.It's a good phone for every day use ,it's not a gaming phone so don't expect a very great performance in this section.Camera is okay types. Back cameras don't disappoint but sometimes you will fill that the software over kills the shots. Front camera is so so nothing really great about that. Both these cameras need sufficient light to produce acceptable quality photos. Low light photography is not so that great, but it's same with most of the phones except if it's pixel series phone. One more thing the main back camera is OIS but i dint felt it's presence while using camera :)) and don't expect too much from the camera app it's just okay type , digital zoom is useless... on all the phones.Battery last for nearly 1.5 days if used lightly, if you are heavy user it will easily last for one day. Charger is not provided with the phone you need original Samsung 25W charger to get  the best of phone's battery n this charger. It takes nearly 1.5 hours to fully charge his phone with this 25W fast charger.The phone n charger both gets warm while charging n it's something that is expected during fast charging.Phone's hardware is loaded for day to day usage n the supplied softwares need some sorting to remove the unnecessary softwares that comes with the boxed unit.Coming to phone's ergonomic... it's a very slippery phone so before you get the phone..get a back cover, Amazon's basic silicone cover seems a natural choice for this phone. Media n finger print scanner is mounted on right side of the phone n works very fast.Display is good ! You get 3.5 mm jack , radio with Samsung's software.output speaker is mono but quite load and clear.Phone is good with 5G networks, you will see dramatic download speeds on these networks,I'm using it on Airtel 5G n it's performing well on this network.If battery life is critical to your usage, keep the phone in power saving mode.I got this phone for 18.5k for the 8/128GB config, after all the card discount. I was not sure about Samsung cuz all this year's I never used a Samsung device but this time I seriously wanted to avoid chinese phone. There are 100s of phone in this segment even Samsung M/A series has many phones in this segment, but I took a risk as it was just launched n I'm not regretting my decision as I mainly use this phone for net browsing, emails, reading PDFs ,chats and camera.Overall a nice deal !
"
3,"
I will keep it really brief because there a lot of reviews explaining everything and a ton of youtube videos. In short words, the product is amazing. The things which are really good are Camera, mainly 50MP and the front cam; Display, battery backup and Samsung UI.The major disappointment is the unavailability of charger in the box, which is actually a deal breaker for many because there are a lot of phones in this price providing the same. Another thing is the absence of even basic screen guard and back cover. Now all the rival brands are providing and this being a new launch, its impossible to find the right tempered glass and back cover for atleast 3 months. The gorilla glass is not much to rely on as I had a scratch just by putting in pocket. Inspite of all this I still went for this because of a really good exchange deal from Amazon.
"
4,"
Got the phone at 15k with charger, why you should buy it ???1/camera - best camera under this price range with ois support, no brand is offering this at this price range. Also what sets apart samsung from other chinese brands is that it does not whiten you face 😂😂.....speaking from a persceptive of real me 8 user.2/ ui - best ui with unique features like knox security,  samsung pay , object eraser, nfc which no brand offers. It got the best in class customization & ui experience. It will get 4 major android update too which is also the best.3/ performance - in this case the processor is not that good there are some lags in the ui maybe it will solve after updates. As of 1st Aug it did not get any updates. 120hz feels very smooth too.4/ battery - with 25 w charger it can be charged upto 85 to 90 % under 50 min from 30% which is decent.  85% with basic usage will last a day easily.5/ speakers - they are not stereo speakers but it has very good bass and treble. Also the output of eraphones is very good.So if you are looking for a phone which has a very powerful processor with losts of bloatware which can charge within 10 min then this is not the one for you. If you want a best camera phone with great ui experience, good battery life, decent performance, moderately fast charging phone then this is the perfect phone for you.Previously I have used lumia , Micromax, zenphone,  real me8 . I can definitely say this ia the best phone that I have used so far. I will not be able to switch to any other chinese brands after the experience of one ui.
"
5,"
I have using this phone since 1.5 month and here's my reviewCons1. Overheating issue is there2. Phone feel slow since you unbox the phone3. App installation time is more4. Some time fingerprint sensor does not recognize5. Some it switched off automatically  many times6. Lot's of glitch ex= keyboard type two times if you press any keyPros1. Camera quality is good2. Battery life is awesome3. Software experience is very nice
"
6,"
This phone is not a:* Gaming phone* High performance phonePerforms day to day tasks with ease and may be basic gaming.Call quality is decent.What is Good:* Amoled display* Dolby Atmos* HIGHLY OPTIMISED phone - so battery lasts longer not just because of bigger battery.* 6000 Mah battery - Depending upon usage, it can easily last 1.5 day and upto 2 days* Decent camera* Few bloatware* 4yrs OS update and 5 yrs security update (but not sure if the phone can handle 3rd or the 4th OS update)* Screen brightess is Good and viewable under direct sunlight.* No in screen finger print scanner - Meaning if for some reason you have to replace the screen, it will be slightly less expensive. Amoled screens with fingerprint scanner will cost you half your phones priceWhat to expect:* From time to time you may notice slowness/lag - If you have too many apps installed* Not intended for high memory utilizing apps* Slight Heating issues from time to time* Slow charging if you don't use Samsung fast charger. Tried 33W fast charger - charging is still slow.* May not be able to handle Android OS 15 or later updates* Videos can be viewed at maximum resolution of 1080P. Does not support 1220p or 1440P.* Has only single stereo speaker* It's better not to charge the phone when it's hot, charging will be slow even with Samsung charger.Note: It's an old chipset known for heating issues. The same chipset was used in Samsung M33. The only reason it works well, is because the OS is highly optimised.The phone is for those users:a) Who performs basic to medium tasks/activities.b) Stable phone with regular OS updates and security patchesc) Intends to use the phone for 3+yrsIf you do decide to buy this phone, I would recommend you to go with 8GB ram else go for something else.Alternate phones - Infinix GT 10
"
7,"
pros: 1. super Amoled Display  2. 120 hz refresh rate  3. 50 Mp, 8Mp, 2Mp Triple Camera, and Front 13 Mp Camera (Samsung Camera performance is  always good it is my openion) ois working well  4. 6000 Mah Monster battery  5. 4 Generations of OS Upgrades and 5 Years of Security UpdatesCons:  1. Charger not provided ( in this price range many companies are provided chargers but not provided samsung  2. Exynos 1280 Octa Core 2.4GHz processor not for good gaming lovers, but small gaming purpose is good  3. A little bit of heating issue i faced long time videos watching and video callingOverall This Samsung Galaxy M34 Phone is suitable for Daily phone users not for gaming lovers, Back cam is doing well and also front cam , side finger print is also working well, Super Amoled Display is very good for watching movies, video songs etc,i feel Lot of Company phones are there but samsung is a good company in a last 20 yearsevery segment the company is very goodmiddle class families are happly purchse these phone
"
8,"
I have some mixed reviews about this phone.1. I love the camera. It's quite amazing. You can see some snapshots.2. Battery is awesome.3. Display is quite good. But here I have something to tell you guys. After purchasing, 8days later somehow my phone dropped from my bed. With back cover and tempered glass.. But the fluid comes out and you can see what happens with my display in the last uploaded pic. Samsung says it won't comes under any warranty. So, I have to spend 6k for display change.I've got this phone 15k arround.So, apart from what happened to me, I am quite happy with this phone. If u r buying this, please order cover and screen protector first.Review after 20days-My phone dropped from my bed with back cover and tempered glass. Display damaged. Samsung service center says they won't cover warrenty of this display. So I ordered the display paying 6k rs on 27th July. Today is 6 August, they said to me that in whole India they don't have a single unit display of this phone, so probably they arranged it from UK. Amazon says, ""please get a service denial letter from Samsung so they can do something"". Moral of the story, I'm stuck between Samsung and Amazon, using my mom's phone. Not a good service experience from Samsung and Amazon.
"
9,"
after 1 month useOnly Android update,  security update, screen are plus point otherwise go with IQOO z7.not z7s.1)Battery - ok(one day full use)2)charging - 1hour 80%3)design - looking good but back panel feels low4)camera - average5)heating issue becoz of exynos6)screen - 😍
"
