,reviews
0,"4 out of 5 stars reviewGreat features, able to play Xbox without console[This review was collected as part of a promotion.] Love the Xbox gaming feature without the need for a console to be connected directly to the TV. Great picture and colors. One Con is that the TV sometimes is slow to respond to changes when using the remote and line of site is clear.OhMarcPaulWritten by aSamsung UScustomerSamsung Brand AmbassadorHi OhMarcPaul,

I'm happy to hear you are enjoying your new CU8000 TV with Samsung Gaming Hub. If you are experiencing issues...See more"
1,"1 out of 5 stars reviewBlack dot on screenJust purchase this tv and a little disappointed that there's a black dot in the middle of the screen. It's not awful, just annoying, wish I would've went with the LG.JasonWritten by aSamsung UScustomerSamsung Brand AmbassadorHi Jason,

Thank you for purchasing the Samsung CU8000 TV and for sharing your experience with your TV not displaying properl...See more"
2,"5 out of 5 stars review8/8/2023TV is so simple to use.[This review was collected as part of a promotion.] This Samsung Crystal UHD TV we just purchased is great.  It has everything at your fingertips!
So easy, even my husband can use it . Has a dedicated button for the main apps and home screen where you can add many many more.  
Only wished the remote was a little larger and the buttons would light up.Sunshine00Written by aSamsung UScustomer"
3,"5 out of 5 stars review6/1/2023Incredible Ease of navigation[This review was collected as part of a promotion.] For someone being new to the smart TVs, this TV did not confuse me as I imagined it would. I was able to easily navigate set up and scrolling through like smart things. I can now easily, pair my phone with the  tv and go from app to game with ease.Homewrecker10Written by aSamsung UScustomer"
4,"5 out of 5 stars review4/29/2023it connects so seamlessly with my samsung earbuds[This review was collected as part of a promotion.] I love the Dex program on my phone so I use it as a giant entertainment and live streaming computer. Really gets the job done in social environments. I bought this TV for my personal out house but since I paired it with my PS5, book3 360 pro, and samsung earbuds I stay in the outhouse majority of the time.Angeldust20Written by aSamsung UScustomer"
5,5 out of 5 stars review7/5/2023Excellent TV[This review was collected as part of a promotion.] Excellent TV!! It has really worked perfectly since buying it! I recommend that everyone buy one it is very affordable and worth it completely. Samsung really hit it out of the park with this one. A great tv!MacAttack10131520Written by aSamsung UScustomer
6,"5 out of 5 stars review7/6/2023Great picture[This review was collected as part of a promotion.] I watch a lot of sports and nature shows and the colors are really vibrant. I especially like dynamic picture mode for sports and nature. I prefer movie mode for shows and movies.
The set is lightweight and easy to set up. Watching in less than 20 minutes.GoGuards5610Written by aSamsung UScustomer"
7,"5 out of 5 stars review5/31/2023Best TV ever[This review was collected as part of a promotion.] I've owned Samsung TVs for years and I know when you buy Samsung you buy quality. I've had other TV brands, but Samsung is simply the best. Why buy any other TV brand? Samsung will last for years. 

Samsung is easy to set up.chip6110Written by aSamsung UScustomer"
8,"5 out of 5 stars review7/7/2023Crisp, Clear Picture, Reasonable Price[This review was collected as part of a promotion.] This TV replaces our aging Sony TV. 

Excellent picture, Internet, 3 HDMI ports, USB, Blue Tooth sound connection for headphones or external speaker.  Pedestal stand extra purchase.  Remote is good.

I would purchase againFamilyRoomTV10Written by aSamsung UScustomer"
9,"4 out of 5 stars review8/7/2023It's okay![This review was collected as part of a promotion.] It's a television and was priced okay. Just so many televisions out there that you can buy 2 instead of having 1 for the same price. I do like the smart things feature but recently other brands have also adapted to remote use with your phone.  The speakers are also okay, like all televisions nowadays required a separate sound system.Morenoj198100Written by aSamsung UScustomer"
10,"4 out of 5 stars review5/2/2023Great features, able to play Xbox without console[This review was collected as part of a promotion.] Love the Xbox gaming feature without the need for a console to be connected directly to the TV. Great picture and colors. One Con is that the TV sometimes is slow to respond to changes when using the remote and line of site is clear.OhMarcPaul30Written by aSamsung UScustomerSamsung Brand AmbassadorHi OhMarcPaul,

I'm happy to hear you are enjoying your new CU8000 TV with Samsung Gaming Hub. If you are experiencing issues...See more"
11,"3 out of 5 stars review6/22/2023Not very good image quality when source is darkImage is good as long as you're not watching a movie or something dark. The screen looks cloudy, with uneven backlight. The only way it goes away is by lowering the brightness to under 10, which does not help during the day nor with sharpness.Hector30Written by aSamsung UScustomerSamsung Brand AmbassadorHi,

We are glad that you reached out to us regarding the display issues you are seeing on your Samsung CU7000 TV.  I have a ...See more"
